444a7fd8-0c5d-4b72-bbc9-5c577dfd0134|M04NG2506NU00032|2025-07-24|1889760|신한은행|M124: LC# prefix 미인식 (M04/M34/
4670abbc-eaa6-43de-af01-c1b7f7ad4745|M04NG2507NU00025|2025-09-16|1661760|신한은행|M124: LC# prefix 미인식 (M04/M34/
720bc02d-705a-4efc-93d2-39b5dcf8b8f2|M04NG2512NU00018|2025-12-01|101146|기업은행|M145: xlsx 마스터 (수입진행상황 2025년도 
74d60c30-a8e9-4c08-9db9-eb872a3178a9|M04NG2512NU00025|2025-12-16|702347|기업은행|M145: xlsx 마스터 (수입진행상황 2025년도 
5f458643-9794-4f22-a3cf-946280d3239a|M100R2509NU00040|2025-10-20|2504542|광주은행|M124: LC# prefix 기반 추정 (M100→광
6a8bacf9-7abf-4f9b-a1d0-05e2cd27edd5|M100R2511NU00089|2025-12-22|2757934|광주은행|M124: LC# prefix 기반 추정 (M100→광
8a6c4dd8-f30b-4852-940b-e63599c934b4|M100R2512NU00025|2025-12-25|2374992|광주은행|M124: LC# prefix 기반 추정 (M100→광
e3a1ecb7-73d6-4c18-943e-afc252633785|M100R2602NU00107|2026-04-16|38786|광주은행|M124: LC# prefix 기반 추정 (M100→광
cc789cb5-51cd-4a34-bf3f-0ceba75fcdc8|M100R2602NU00107|2026-04-16|1579524|광주은행|M124: LC# prefix 기반 추정 (M100→광
08f7803b-3c55-450b-b27f-32dae5bec855|M100R2602NU00114|2026-02-01|28091|하나은행|M134: imp26-론지솔라
560f9ad8-052c-46a3-8f32-7f6e4f55779e|M100R2603NU00032|2026-03-12|1854524|국민은행|M145: xlsx 마스터 (수입진행상황 2026년도 
dc977669-a243-4088-8d6e-c1fc71f80c0d|M12MK2502NU00018|2025-03-01|1274674|신한은행|M119 백필 — bank=신한 default, 실제 
4b7445ec-dae6-44e6-80b2-7a2b15673389|M12MK2502NU00032|2025-03-10|2516315|신한은행|M119 백필 — bank=신한 default, 실제 
0a32b9cd-834f-4fd1-aac2-5532f2bb87f6|M12MK2503NU00025|2025-04-30|2183616|신한은행|M119 백필 — bank=신한 default, 실제 
cd769393-9dcc-4b82-a7c9-4ae71fd1e5a6|M12MK2503NU00032|2025-04-19|1989734|신한은행|M119 백필 — bank=신한 default, 실제 
87700c53-2977-4fab-9b10-26a4aff5181a|M12MK2503NU00040|2025-04-08|483024|신한은행|M119 백필 — bank=신한 default, 실제 
4712dbe5-f7ad-465e-9e85-9a327f636821|M12MK2504NU00018|2025-04-20|284939|신한은행|M119 백필 — bank=신한 default, 실제 
e6566d18-77c4-4f9c-ba40-07ab33a0f019|M12MK2504NU00025|2025-06-04|2516429|신한은행|M119 백필 — bank=신한 default, 실제 
05662029-96ff-4451-8418-db97899f2684|M12MK2504NU00032|2025-05-26|691200|신한은행|M119 백필 — bank=신한 default, 실제 
44a648ac-7324-4a4b-9b4c-2fa8535f801d|M12MK2507NU00025|2025-08-10|514153|신한은행|M119 백필 — bank=신한 default, 실제 
d81953db-e9c8-4934-b40d-945ffe72773d|M12MK2507NU00032|2025-07-23|4895028|하나은행|M145: xlsx 마스터 (수입진행상황 2025년도 
63b78ad8-cae1-4940-a812-e2216aefdc76|M12MK2508NU00025|2025-09-05|469763|신한은행|M119 백필 — bank=신한 default, 실제 
44dc7489-f353-440e-9fd0-30c5a2d7d723|M12MK2508NU00032|2025-09-29|1244519|신한은행|M119 백필 — bank=신한 default, 실제 
f91d0f06-57fa-40f7-9788-15dd93b8a048|M12MK2508NU00057|2025-09-30|38176|신한은행|M119 백필 — bank=신한 default, 실제 
87c2b871-d1a6-4e0d-be47-815af3f1289b|M12MK2510NU00025|2025-11-03|1353026|신한은행|M119 백필 — bank=신한 default, 실제 
61961e91-c90e-4cf2-87ac-938416f04b00|M12MK2510NU00040|2025-11-18|2822298|신한은행|M119 백필 — bank=신한 default, 실제 
70521070-aaa5-4192-b5db-da114aca336f|M12MK2511NU00032|2025-12-23|400332|신한은행|M119 백필 — bank=신한 default, 실제 
076314a6-a405-4816-8004-48e708b4eaf4|M12MK2601NU00040|2026-01-30|943534|하나은행|M134: imp26-징코
e46608b1-fe45-4483-9edf-25c4fed7d8d8|M12MK2601NU00040|2026-02-24|3601466|신한은행|M119 백필 — bank=신한 default, 실제 
df5b87cf-c208-4a55-b5f4-dafc604bf22f|M12MK2602NU00018|2026-03-17|4997279|신한은행|M119 백필 — bank=신한 default, 실제 
26b99726-6d7d-468a-9287-d575e025f084|M12MK2602NU00025|2026-02-01|189174|하나은행|M134: imp26-론지솔라
f8e2d5a3-7c5d-44ae-9afd-d167cf4b6032|M12MK2602NU00025|2026-04-16|1891744|신한은행|M119 백필 — bank=신한 default, 실제 
8e3c2a18-121c-4781-8281-773044111565|M34PD2601NU00018|2026-01-22|2465792|광주은행|M134: imp26-트리나
af58b595-f21d-4452-b0c4-b96f7f585b32|M34PD2601NU00018|2026-02-21|2880852|신한은행|M124: LC# prefix 미인식 (M04/M34/
b296fa2a-51e6-4ea0-aef2-b59ceaa4843b|M42M62506NU00032|2025-07-27|2410968|신한은행|M124: LC# prefix 미인식 (M04/M34/
2a566d5d-8160-40b9-b67d-f5e8eef59fdc|M42M62602NU00018|2026-02-20|274104|신한은행|M145: xlsx 마스터 (수입진행상황 2026년도 
2b59e0ea-31b3-4717-ad8a-954bd205facc|없음|2025-12-13|1983493|신한은행|M119 백필 — bank=신한 default, 실제 
