category,filename,rel_path,extracted_lcs,parent
opening_swift,탑솔라 신한은행 LC 가전문(2025.06.19).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/30MW 2025.06.20  신한은행/탑솔라 신한은행 LC 가전문(2025.06.19).pdf,,30MW 2025.06.20  신한은행
other_lc,탑솔라 신한은행 LC 전문(2025.06.20).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/30MW 2025.06.20  신한은행/탑솔라 신한은행 LC 전문(2025.06.20).pdf,,30MW 2025.06.20  신한은행
application,징코 LC개설신청서 20MW Draft.pdf,2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/2차 20MW 개설 2025.10.31/징코 LC개설신청서 20MW Draft.pdf,,2차 20MW 개설 2025.10.31
application,징코 LC개설신청서 20MW 전문 2025.10.31.pdf,2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/2차 20MW 개설 2025.10.31/징코 LC개설신청서 20MW 전문 2025.10.31.pdf,,2차 20MW 개설 2025.10.31
application,징코 LC개설신청서 20MW.pdf,2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/2차 20MW 개설 2025.10.31/징코 LC개설신청서 20MW.pdf,,2차 20MW 개설 2025.10.31
opening_swift,탑솔라-징코솔라 LC 개설 가전문(국민은행 2025.11.27).pdf,"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/3차 52MW 개설 2025.11.27(국민,산업)/탑솔라-징코솔라 LC 개설 가전문(국민은행 2025.11.27).pdf",,"3차 52MW 개설 2025.11.27(국민,산업)"
other_lc,탑솔라-징코솔라 LC 개설 발송전문(국민은행 2025.11.27).pdf,"2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/3차 52MW 개설 2025.11.27(국민,산업)/탑솔라-징코솔라 LC 개설 발송전문(국민은행 2025.11.27).pdf",,"3차 52MW 개설 2025.11.27(국민,산업)"
application,징코 LC개설신청서 20MW 전문 2025.10.31.pdf,2025년 모듈 발주/징코모듈/탑솔라/400MW 계약서 - 350MW 변경/탑솔라-징코 20MW 2025.11.18/징코 LC개설신청서 20MW 전문 2025.10.31.pdf,,탑솔라-징코 20MW 2025.11.18
opening_swift,화신이엔지-징코솔라  LC개설 전문 수정본(2025.12.05).pdf,2025년 모듈 발주/징코모듈/화신이엔지/2차 개설 26.5MW 국민은행(2025.12.05)/화신이엔지-징코솔라  LC개설 전문 수정본(2025.12.05).pdf,,2차 개설 26.5MW 국민은행(2025.12.05)
opening_swift,트리나모듈 개설 가전문 - Topsolar 2025.08.21 - 수정본.pdf,2025년 모듈 발주/트리나/1차 PI 50MW/트리나모듈 개설 가전문 - Topsolar 2025.08.21 - 수정본.pdf,,1차 PI 50MW
opening_swift,트리나모듈 개설 전문 - Topsolar 2025.08.21.pdf,2025년 모듈 발주/트리나/1차 PI 50MW/트리나모듈 개설 전문 - Topsolar 2025.08.21.pdf,,1차 PI 50MW
opening_swift,탑솔라-트리나솔라에너지 LC개설 가전문(하나은행 2025.11.28).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/탑솔라-트리나솔라에너지 LC개설 가전문(하나은행 2025.11.28).pdf,,30MW - 국민은행개설
application,탑솔라-트리나솔라에너지 LC개설 신청서(하나은행 2025.11.28).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/탑솔라-트리나솔라에너지 LC개설 신청서(하나은행 2025.11.28).pdf,,30MW - 국민은행개설
opening_swift,탑솔라-트리나솔라에너지 LC개설 전문(하나은행 2025.11.28).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/탑솔라-트리나솔라에너지 LC개설 전문(하나은행 2025.11.28).pdf,,30MW - 국민은행개설
opening_swift,트리나모듈 710WP 30MW 개설 가전문(2025.09.18)-수정.pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/트리나모듈 710WP 30MW 개설 가전문(2025.09.18)-수정.pdf,,30MW - 국민은행개설
opening_swift,트리나모듈 710WP 30MW 개설 전문(2025.09.18).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/트리나모듈 710WP 30MW 개설 전문(2025.09.18).pdf,,30MW - 국민은행개설
amendment,트리나모듈 조건변경 전문(2025.11.05).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/트리나모듈 조건변경 전문(2025.11.05).pdf,,30MW - 국민은행개설
amendment,트리나모듈 조건변경신청 전문(2025.11.07).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/트리나모듈 조건변경신청 전문(2025.11.07).pdf,,30MW - 국민은행개설
amendment,트리나모듈 조건변경신청서(2025.11.07).pdf,2025년 모듈 발주/트리나/1차 PI 50MW/30MW - 국민은행개설/트리나모듈 조건변경신청서(2025.11.07).pdf,,30MW - 국민은행개설
application,하나은행 탑솔라-라이젠 LC개설 Draft(2026.05.12).pdf,2026년 모듈 발주/라이젠에너지/라이젠 30MW 진행건/라이젠 635WP 15MW 2026.05.12개설/하나은행 탑솔라-라이젠 LC개설 Draft(2026.05.12).pdf,,라이젠 635WP 15MW 2026.05.12개설
other_lc,탑솔라-론지솔라 BC 모듈 LC전문 (국민은행 2026.02.19).pdf,2026년 모듈 발주/론지솔라/탑솔라/BC모듈 30MW/탑솔라-론지솔라 BC 모듈 LC전문 (국민은행 2026.02.19).pdf,,BC모듈 30MW
other_lc,탑솔라-론지솔라 BC 모듈 LC전문 (하나은행 2026.02.19).pdf,2026년 모듈 발주/론지솔라/탑솔라/BC모듈 30MW/탑솔라-론지솔라 BC 모듈 LC전문 (하나은행 2026.02.19).pdf,,BC모듈 30MW
opening_swift,탑솔라-론지솔라 경량모듈 LC개설 전문(국민은행 2026.02.20).pdf,2026년 모듈 발주/론지솔라/탑솔라/경량모듈 20MW/탑솔라-론지솔라 경량모듈 LC개설 전문(국민은행 2026.02.20).pdf,,경량모듈 20MW
opening_swift,탑솔라-론지솔라 경량모듈 LC개설 전문(신한은행 2026.02.20).pdf,2026년 모듈 발주/론지솔라/탑솔라/경량모듈 20MW/탑솔라-론지솔라 경량모듈 LC개설 전문(신한은행 2026.02.20).pdf,,경량모듈 20MW
application,"징코모듈 635WP 48,068pcs+3492pcs(30.5MW) 2026.01.30 LC개설신청서.pdf","2026년 모듈 발주/징코솔라/하나은행 635 BDV-S 48068pcs+3492pcs  2026.01.30/징코모듈 635WP 48,068pcs+3492pcs(30.5MW) 2026.01.30 LC개설신청서.pdf",,하나은행 635 BDV-S 48068pcs+3492pcs  2026.01.30
opening_swift,탑솔라_700_가전문(하나은행).pdf,2026년 모듈 발주/징코솔라/하나은행 635 BDV-S 48068pcs+3492pcs  2026.01.30/탑솔라_700_가전문(하나은행).pdf,,하나은행 635 BDV-S 48068pcs+3492pcs  2026.01.30
opening_swift,취소불능화환신용장 개설 가전문(하나은행 2025.02.02).pdf,2026년 모듈 발주/징코솔라/하나은행 635 BDV-S1 71543pcs/취소불능화환신용장 개설 가전문(하나은행 2025.02.02).pdf,,하나은행 635 BDV-S1 71543pcs
opening_swift,취소불능화환신용장 개설 전문(하나은행 2025.02.02).pdf,2026년 모듈 발주/징코솔라/하나은행 635 BDV-S1 71543pcs/취소불능화환신용장 개설 전문(하나은행 2025.02.02).pdf,,하나은행 635 BDV-S1 71543pcs
application,취소불능화환신용장 개설신청서(하나은행 2025.02.02).pdf,2026년 모듈 발주/징코솔라/하나은행 635 BDV-S1 71543pcs/취소불능화환신용장 개설신청서(하나은행 2025.02.02).pdf,,하나은행 635 BDV-S1 71543pcs
other_lc,광주은행 인터넷 수입신용장 신청 전문.pdf,2026년 모듈 발주/트리나솔라/720WP 30MW/광주은행 인터넷 수입신용장 신청 전문.pdf,,720WP 30MW
other_lc,라이젠 635W 90MW LC 개설 일정_260420.xlsx,2026년 모듈 발주/라이젠에너지/라이젠 635W 90MW LC 개설 일정_260420.xlsx,,라이젠에너지
