rel_path,category,lc_nos_extracted,new_lc_nos,has_swift_marker,amount_hint,date_hint
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  25MW 선적  2024.09.13 개설/징코모듈 630WP 25MW LC개설 전신문(2024.09.13).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  40MW 선적 2024.09.27개설/징코모듈 630WP 40MW LC개설 Draft(2024.09.26).pdf,application,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  40MW 선적 2024.09.27개설/징코모듈 630WP 40MW LC개설 신청서(2024.09.26).pdf,application,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP  40MW 선적 2024.09.27개설/징코모듈 630WP 40MW LC개설 전문(2024.09.27).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP 50MW 선적(2024.10.15개설)/KDB_SWIFT발신_21992407_20241015175511 (1).pdf,opening_swift,M0215410NU00281,,True,"USD4725888,30",2024.10.15
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP 50MW 선적(2024.10.15개설)/징코모듈  630WP 50MW 가전문(2024.10.15).pdf,opening_swift,M0215410NU00281,,True,"USD4725888,30",2024.10.15
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 30MW(2025.02.19)/징코모듈 30MW LC개설 Draft(2025.02.19).pdf,application,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 30MW(2025.02.19)/징코모듈 30MW LC개설 전문(2025.02.19).pdf,opening_swift,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP  45MW 가운데 30MW(2025.02.19)/징코모듈 30MW LC개설신청서(2025.02.19).pdf,application,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP 15MW 2024.12.06/징코모듈 LC개설 Draft(635WP 15MW 2024.12.06).pdf,application,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP 15MW 2024.12.06/징코모듈 LC개설 신청서(635WP 15MW 2024.12.05).pdf,application,,,False,,
2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 635WP 15MW 2024.12.06/징코모듈 LC개설 전문(635WP 15MW 2024.12.06).pdf,opening_swift,,,False,,
"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP 20.3MW (하나, 산업)2024.10.25 개설/하나은행 개설분 31104pcs/징코모듈 630WP 31,104pcs LC개설 신청서(2024.10.25).pdf",application,,,False,,
"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP 20.3MW (하나, 산업)2024.10.25 개설/하나은행 개설분 31104pcs/징코모듈 630WP 31,104pcs LC개설 하나은행 Draft(2024.10.25).pdf",application,,,False,,
"2024년 모듈발주/징코모듈/발주서(200MW 3개사)/징코 200MW 진행의 건/탑솔라  125MW/징코모듈 630WP 20.3MW (하나, 산업)2024.10.25 개설/하나은행 개설분 31104pcs/징코모듈 630WP 31,104pcs LC개설 하나은행 전문(2024.10.25).pdf",other_lc,,,False,,
2025년 모듈 발주/트리나/탑솔라-트리나솔라에너지 LC개설 전문(하나은행 2025.11.28).pdf,opening_swift,,,False,,
2025년 모듈 발주/JA솔라 모듈/KNK/탑솔라 LC가전문(KNK).pdf,opening_swift,,,False,,
"2025년 모듈 발주/JA솔라 모듈/KNK/70MW 발주/61MW 개설/KNK에너지(JA솔라 모듈) 635WP, 640WP  LC개설 가전문.pdf",opening_swift,,,False,,
"2025년 모듈 발주/JA솔라 모듈/KNK/70MW 발주/61MW 개설/KNK에너지(JA솔라 모듈) 635WP, 640WP  LC개설 전문.pdf",opening_swift,,,False,,
"2025년 모듈 발주/JA솔라 모듈/KNK/70MW 발주/61MW 개설/KNK에너지(JA솔라 모듈) 635WP, 640WP  LC개설신청서.pdf",application,,,False,,
2025년 모듈 발주/라이젠/라이젠 40WM/640WP 10MW 진행/라이젠-Topsolar 640WP 10MW 개설 가전문(2025.10.16).pdf,opening_swift,,,False,,
2025년 모듈 발주/라이젠/라이젠 40WM/640WP 10MW 진행/라이젠-Topsolar 640WP 10MW 개설 전문(2025.10.16).pdf,opening_swift,,,False,,
2025년 모듈 발주/론지솔라/디원/2차 개설 진행 37.2MW선적서류/KDB_SWIFT발신_21994769_20250922152619.pdf,opening_swift,M0215509NU00317,,True,"USD2999986,88",2025.09.22
2025년 모듈 발주/론지솔라/디원/2차 개설 진행 37.2MW선적서류/디원_가전문(2025.09.22).pdf,opening_swift,M0215509NU00317,,True,"USD2999986,88",2025.09.22
2025년 모듈 발주/론지솔라/디원/2차 개설 진행 37.2MW선적서류/취소불능화환신용장개설신청서(디원) 37.2MW.pdf,application,,,False,"USD 2,999,986.88",2025.12.20
2025년 모듈 발주/론지솔라/디원/백컨텍모듈/기업은행 (디원-론지솔라모듈) LC전문(2025.12.16).pdf,other_lc,,,False,,
2025년 모듈 발주/론지솔라/디원/백컨텍모듈/디원-론지솔라 LC 전문(2025.12.02).pdf,other_lc,,,False,,
2025년 모듈 발주/론지솔라/디원/백컨텍모듈/디원-론지솔라 LC개설신청서(기업은행 2025.12.01).pdf,application,,,False,,
2025년 모듈 발주/론지솔라/디원/백컨텍모듈/디원-론지솔라 모듈 LC개설 신청서.pdf,application,,,False,,
2025년 모듈 발주/론지솔라/디원/1차 개설 진행 33.7MW 선적서류/1차선적/탑솔라조건변경관련수수료.pdf,amendment,,,False,,
2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/탑솔라-론지솔라 615MW  LC 개설 Draft(국민은행).pdf,application,,,False,,
2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/탑솔라-론지솔라 615WP LC개설 전문(국민은행 2026.03.12).pdf,opening_swift,,,False,,
"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지 모듈 BC 5MW LC개설신청서(2025.08.19).pdf",application,,,False,,
"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 1.9MW  650WP 3.1MW) LC개설 전문 2025.08.19.pdf",opening_swift,,,False,,
"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19- 수정.pdf",opening_swift,,,False,,
"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19.pdf",opening_swift,,,False,,
"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 640WP, 645WP, 620WP 개설 가전문(2025.07.22).pdf",opening_swift,,,False,,
"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 640WP, 645WP, 620WP 개설 전문(2025.07.22).pdf",opening_swift,,,False,,
2025년 모듈 발주/징코모듈/디원/디원- 징코모듈 개설 전문(산업은행 2025.08.29)-18MW.pdf,opening_swift,,,False,,
2025년 모듈 발주/징코모듈/화신이엔지/화신이엔지-징코솔라 LC 가전문(2025.12.04).pdf,opening_swift,,,False,,
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/디원- 징코모듈 개설 전문(산업은행 2025.08.29).pdf,opening_swift,,,False,,
2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/징코모둘 -하나은행 LC개설 가전문(2025.08.29).pdf,opening_swift,,,False,,
2025년 모듈 발주/징코모듈/디원/1차 15MW  기업은행 2025.06.23/디원(징코모듈 15M LC개설) 전문 2025.06.23.pdf,other_lc,,,False,,
2025년 모듈 발주/징코모듈/디원/1차 15MW  기업은행 2025.06.23/디원(징코솔라모듈 15MW LC개설 신청서).pdf,application,,,False,,
2025년 모듈 발주/징코모듈/디원/2차 13.2MW 기업은행 2025.07.21/디원 LC개설 가전문.pdf,opening_swift,,,False,,
2025년 모듈 발주/징코모듈/디원/2차 13.2MW 기업은행 2025.07.21/디원 LC개설 전문 - 기업은행(2025.07.22).pdf,opening_swift,,,False,,
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코모듈 20MW 개설 전문(2025.03.14).pdf,opening_swift,,,False,,
2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/30MW 2025.06.20  신한은행/탑솔라 신한은행 LC 가전문(2025.06.19).pdf,opening_swift,,,False,,
